user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
임진성,3,2019년 12월 24일,2019년 12월 26일,아직까지 어플에 아쉬운 부분이 많다 차량이 신호를 제대로 수신 못하는 경우도 있고 패널티에 대한 설명도 특수한 경우에 대한 안내사항도 조금씩 발전 했으면 하는 부분이 크다 그래도 예전에 비해 차량 관리는 잘 되어 있어서 별 3개,answer
양동규,1,2019년 12월 27일,no_answer,대여정보점 알아 보려는데 회원가입 해야 되서 했더니 또 카드 등록까지 하라네. 욕나오네.. 카드 안쓰는 사람은 이용하지 마라는거에요? 어이가 없네..,no_answer
주선희,1,2019년 12월 21일,2019년 12월 26일,처음 이용하는데 차량가격이나 차가 있는지 알아보려 회원가입까지 했는데 카드등록하라고 하네요 카드등록 안하면 이용 못 하는 건가요? 이용하고 결제 때 해도 되지 않나요?,answer
임진영,4,2019년 12월 21일,2019년 12월 26일,가까운'쏘카 존' 있어서 편하게 빌릴수 있어요. 가끔 차량상태나 청결문제도있지만 그만큼 간편해서좋아요. 장시간 대여시 비용이 조금 부담되는거 빼고는 만족 합니다. 가끔씩 이용할 예정 입니다.,answer
H쫑,1,2019년 12월 29일,no_answer,좋아요,no_answer
Mang Oing,5,2019년 12월 28일,no_answer,좋습니다 근데 트랙스 차종은 이제 없나요? 목록에 안나오네요,no_answer
김동회,4,2019년 12월 28일,no_answer,쏘카페어링 만26세 이상만 이용할수 있도록 바뀌었나요? 11월만해도 이용가능했는데 이제 저한텐 인앱 메뉴가 안뜨네요 이것말고도 몇달마다 서비스 하고 안하고 바뀌는게 많은데 블로그 같은곳에 공지해주면 좋겠어요. 20대 초반이 단기로 빌릴땐 쏘카 (무인시스템이라 반납할때 양아치짓 없음)>>일반렌터카. 대신 큰 문제 아니면 내가 다 해결해야됨. (ex. 지정주차자리인데 다른 차가 주차되어있네요 > 차량제어 풀어줄테니 고객님이 두대 모두 옮겨주세요!),no_answer
한제현,3,2019년 12월 28일,no_answer,전기차가 너무 부족합니다~,no_answer
손재화,5,2019년 12월 28일,no_answer,저렴하고 필요할때 사용하기 좋아요.,no_answer
주식강,5,2019년 12월 28일,no_answer,월정액들고 근처에 쏘카존이 있다면 매우 합리적인 앱임,no_answer
김J,5,2019년 12월 28일,no_answer,"편리하게 외근,출장 시 이용 중! 이용자들이 차량 청결만 신경써주신다면 좋겠어요~ 장기이용자에게 좀더 많은 할인 적용해주시기를",no_answer
Jong jin Lee,5,2019년 12월 27일,no_answer,편리한 카 쉐어링,no_answer
Youngkuk Lee,5,2019년 12월 27일,no_answer,좋은데 생각보다 비쌈,no_answer
오용혁,5,2019년 12월 27일,no_answer,경제적인 가격에 필요할때 잘 이용하고 있습니다.,no_answer
