user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
김다이,5,2019년 1월 5일,no_answer,이 좋은 앱을 지금 알다니..관심 분야 골라서 재밌게 영어공부를 할 수 있어서 좋아요 게다가 문장도 알아서 골라주고 문제 맞추는 재미도 있네요,no_specific_comment,no_answer
강민영,4,2019년 1월 5일,no_answer,영상을 찜하거나 담아두기(?)같은 기능이 있었으면 좋겠어요,no_specific_comment,no_answer
김석수,5,2019년 1월 5일,no_answer,좋음,no_specific_comment,no_answer
sangyong park,3,2019년 1월 4일,no_answer,새로운 동영상이 많아서 좋네요.,no_specific_comment,no_answer
bbm kei,3,2019년 1월 4일,2019년 1월 4일,무통장 입금으로 결제하려는데 자꾸 거래가 이뤄지지 않는다고 뜨네요... 잔액도 충분한데 왜 이럴까요? ㅠ,no_specific_comment,answer
최혜림,3,2019년 1월 4일,2019년 1월 4일,2단계 단어 연결할때 단어를 클릭하면 동영상이 나와 진행이 안되는것 빼고 다 좋네요!!,no_specific_comment,answer
Google 사용자,5,2019년 1월 3일,2019년 1월 4일,단어담기는 어떻게하는건가요??,no_specific_comment,answer
misun park,5,2019년 1월 3일,no_answer,결제해서 보고 있는데 주제가 다양해서 좋아요. 3단계 이후 다시 보기 할 때도 단어 찾기 기능이 계속 있으면 좋겠어요.,no_specific_comment,no_answer
박창효,5,2019년 1월 3일,2019년 1월 4일,너무 좋아요. 근데 조금 비싼느낌이 있네요~,no_specific_comment,answer
Kyle Lee,5,2019년 1월 2일,no_answer,It's good,no_specific_comment,no_answer
곽규정,5,2019년 1월 1일,no_answer,재밌어오 보자마자 1년 구매,no_specific_comment,no_answer
ᄋᄋ,5,2019년 1월 1일,no_answer,굳굳 좋아요,no_specific_comment,no_answer
Google 사용자,5,2019년 1월 1일,no_answer,좋아여,no_specific_comment,no_answer
youtube돝홀이,5,2018년 12월 31일,no_answer,☆☆☆☆☆☆☆☆☆☆,no_specific_comment,no_answer
김민정,5,2018년 12월 31일,2018년 12월 31일,처음에는반신반의하다결국결제해서 보게되었네요ㅜ 새해꾸ㅡ준히학습할예정입니다:),no_specific_comment,answer
bobae jung,5,2018년 12월 30일,2018년 12월 31일,빈둥거리면서 편하게 영어공부하기좋아요,no_specific_comment,answer
신중천,5,2018년 12월 30일,no_answer,궁금했던 영상의 내용을 쉽게 파악할 수 있어요,no_specific_comment,no_answer
