user_name,user_app_rating,user_review_date,company_comment_date,comment,company_answer_check
이구리,2,2016년 4월 23일,2016년 5월 11일,불만있어서 그만둔 사람들에게는  좋은 불만 성토장이 될듯. 대기업들은 적당히 좋은 내용들만있고 중소기업들에대해서는  불만자들 성토장인듯하네요. 일단 나쁜글 달리면 뒤에 계속 나쁜글만 달리고 실제 기업상황을 보기에는 무리인듯합니다. 백명 가까이 직원 다니는 중소회사들 리뷰보니 악플이 상당수던데 그럼 기존 직원들은 모두 참고 다닌다는 얘기인지  이제 막 그만둔 신입들 얘기들만 있는것인지 실상 파악하기에는 너무  힘드네요. 연차가 쌓인 직원들과 신입들의 의견이 구분되면 좋겠네요,answer
주찬희,5,2016년 4월 23일,no_answer,좋아요,no_answer
요르문,5,2016년 4월 23일,no_answer,굳,no_answer
da na,5,2016년 4월 21일,no_answer,말이 필요없음 깔아서 모두모두 취직합시다~,no_answer
L E,1,2016년 4월 20일,2016년 4월 21일,리뷰 하나 볼때마다 광고 한 개씩 보게하는거 이직자 실업자을 위한 앱이라는 애초 존재 이유와 너무 상충되지 않나,answer
강유정,1,2016년 4월 20일,2016년 4월 21일,아니 뭐 이메일로 회원가입할라는데  클릭이 안되네요 이거 너무 페이스북 가입만 강조라는거아닙니까?,answer
김태완,1,2016년 4월 20일,2016년 4월 21일,광고너무하다생각안하세여...?                     네이버 치는게 더빠르겠네..,answer
원빈,1,2016년 4월 20일,2016년 4월 21일,한번보면 3분간 무제한 그렁식으로해야지 클릭한번에 광고 15초를 보게하냐 더러워서 지운다,answer
Yoon-Jin Oh,5,2016년 4월 18일,no_answer,기업정보참고많이되네요,no_answer
이키아,1,2016년 4월 18일,2016년 4월 19일,능력이 부족해서 퇴출된 사람들이 리뷰를 엉망으로 써놔서 기업 평가가 너무 절하되었네요. 본인들 잘못은 생각도 안하고 기업탓만 하는 사람들이 너무 많아요. 정말 스타트업/중소기업 죽이는 어플같아요.,answer
정인철,2,2016년 4월 18일,2016년 4월 18일,페이스북 로그인 하면 앱 승인햇다고 하고 로그인 화면에서 오류가 계속 나서 진행이 안됩니다 고쳐주세요,answer
김성형,1,2016년 4월 16일,2016년 4월 18일,대체 기준이 머임?  피드백도 없고 삭제하고 별점 남기고 갑니다,answer
김종훈,5,2016년 4월 14일,no_answer,최곱니다 (˚_˚)(˚_˚)(˚_˚)(˚_˚),no_answer
유혜림,5,2016년 4월 13일,no_answer,면접보면 잡플래닛에 쓰여있는 분위기랑 면접분위기도 어느정도 매치가 많이됨 !,no_answer
심현지,1,2016년 4월 12일,2016년 4월 12일,리뷰작성시 거절만 몇번인지 모르겠네요~거절되는부분이라도 팝업으로 고지를 해주던가. ~  다쓰고 나중에 등록안되서보믄 거절이여서 안되고~~~~ 기준이라도공지를 하던가 ~~~~욕을 쓴것도 아니고 다른사람에게 정보주려고 면접때 오갔던 질문 답변 그대로 쓴건데~~~~ 어떤사람은 동일한것도 등록되있고 ~~주변지인한테 추천했는데 이제비추하고 삭제하라고 해야겠네요 나부터삭제해야지~ 이건 뭐 똥개훈련시키는것도 아니고~,answer
MinHee Yoo,3,2016년 4월 11일,2016년 4월 14일,업데이트에 통화정보 가지고가시는데 그게 왜 필요한건지요;;,answer
김기봉,4,2016년 4월 10일,2016년 4월 11일,"분류로 공사,공단 따로 볼 수 있으면 더 좋을 것 같아요",answer
신의한수,4,2016년 4월 9일,no_answer,굿,no_answer
최일식,5,2016년 4월 7일,2016년 4월 7일,나쁜 회사는 거를 수있는 시스템,answer
창렬전자,1,2016년 4월 2일,2016년 4월 4일,왜 이렇게 되나요,answer
이도엽,1,2016년 4월 1일,2016년 4월 4일,짜증,answer
Lisa Park,1,2016년 3월 31일,2016년 3월 31일,왠만해서 평가는 잘주는 편인데... 이게 두번째에요.... 후기 날라간거...또 썼던 회사 후기 써야 다른 후기 볼수 있는거에요? 진짜 짜증나네요. 게다가 지금 보니까 광고 하나보고 옛날회사 면접 후기 확인해보니 내가 쓴 후기는 있는데 앱하고는 연결 안되네요. 앱에는 내가 쓴 후기 없다나오고... 장난하나. 계정 연동 왜해요?? 해도 날라갈거면 하질 말던가. 아 진짜 짜증나네,answer
