user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
김시문,1,2019년 5월 11일,2019년 5월 13일,한사람의 말만듣고 규제가 심하면 한달안에 망합니다 허허,no_specific_comment,answer
욱크스,1,2019년 5월 11일,2019년 5월 13일,아니 검사중이시라면서 언제까지 기달리나요? 제돈좀 돌려주세요,no_specific_comment,answer
LEE Dongwon,2,2019년 5월 11일,2019년 5월 13일,헐 난 나쁜 행동 1도 안햏는데 정지 당해서 기분 너무 나빴음 원래 아자르 자기 전에 켜서 하는 경우 많은데 웻옷 벗고 하다 팔만들었는데 ㅈ잘리다니 이거 좀 정지 전에 공평한 잣대가 더 필요해요 재미있는데 이럴 때 기분나빠요,no_specific_comment,answer
감바래,5,2019년 5월 10일,2019년 5월 10일,문의어디다가하나요?,no_specific_comment,answer
민진,1,2019년 5월 9일,2019년 5월 9일,남자들 자위함,no_specific_comment,answer
치킨제자,5,2019년 5월 9일,2019년 5월 9일,대박,no_specific_comment,answer
임규민,1,2019년 5월 9일,2019년 5월 9일,아무것도안했는데 정지??,no_specific_comment,answer
정준서,5,2019년 5월 9일,2019년 5월 9일,네 모두 둥글로 넘어가죠,no_specific_comment,answer
최승현,1,2019년 5월 9일,2019년 5월 9일,노답 ㅋㅋ얼굴비추고 비속어 전혀 안썼는더 정지ㅋㅋㄱㄱㄱ,no_specific_comment,answer
기무정태,1,2019년 5월 9일,2019년 5월 9일,운전하면서 하는 애들이나 잡아요,no_specific_comment,answer
후루룩냠냠,1,2019년 5월 9일,2019년 5월 9일,ㅋ ㅋ 먼 결제가 이리 많아,no_specific_comment,answer
신재섭,1,2019년 5월 8일,2019년 5월 9일,환불해주세요 처음에 무료 체험인가 뭐 있더니 은근슬쩍 매달 결제되네 한달에 17000원씩 나가던데 환불요청합니다,no_specific_comment,answer
Park Jay,1,2019년 5월 7일,2019년 5월 8일,7일간 무료로 사용가능이라고해서 결제했는데 비용 나가네요. 취소해주세요,no_specific_comment,answer
기나나,1,2019년 5월 7일,2019년 5월 8일,아무것도안했는데왜정지당하나요????어이없네요,no_specific_comment,answer
강태우,5,2019년 5월 7일,2019년 5월 7일,vip사용 해제 4시간20분 늦어서 구독 결제 됐는데 결제 취소 부탁드려요... 이거 말고도 결제 많이 했었거든요ㅜㅜ 설정에서 고객센터 들어가면 영어로 떠서 어떻게 문의를 남겨야 될지 헷깔리네요 결제된거 취소 부탁 드립니다,no_specific_comment,answer
경상현,3,2019년 5월 7일,2019년 5월 7일,화면돌려보기 7일체험권 했는데 결제한거 어떻게 취소해요?,no_specific_comment,answer
유지로,4,2019년 5월 7일,2019년 5월 7일,방금 1200개 결제했는데 보석안들어오네요 환불해주던지 확인하고 보석주던지 하세요,no_specific_comment,answer
김은비,4,2019년 5월 7일,2019년 5월 7일,새벽에 저랑 통화하신 아들1 딸1 돌싱 남성분.. 잘못눌러서 대화 끊겼어요... 정말 대화도 잘통하고 진짜 돌싱이고 뭐고 한 번 만나보고 싶었는데ㅠㅠ 저 혼술하던 애에요ㅠㅠ,no_specific_comment,answer
김정현,3,2019년 5월 7일,2019년 5월 7일,어플은 좋습니다 하지만.. 이 앱을 이용하는 사람들의 수준이 못봐주겠네요 인종차별 변태짓 여자만찾는사람들 영어공부나 낯가리는 성격에 조금이나마 도움될까 싶어서 해봤는데 제생각이 짧았네요 모두들 좋은사람들만 만나길 바랍니다 힘드시겠지만,no_specific_comment,answer
차현순,4,2019년 5월 7일,2019년 5월 7일,하 다 좋은데 성추행을 당했어요 ㅠ,no_specific_comment,answer
김민중,3,2019년 5월 7일,2019년 5월 7일,혹시라도 영상찍는 사람이 있진않겠죠.? 모바일 앱에 동영상 찍기 이런거 있는데 혹시 막을수있나요...사람들 만나는건 즐거운데 이런걱정땜에 조심스럽습니다..,no_specific_comment,answer
김현우,2,2019년 5월 6일,2019년 5월 7일,신고사유검토시간이 너무길어요,no_specific_comment,answer
김록수,3,2019년 5월 6일,2019년 5월 7일,다 좋은데 상대방과 연결이 되면 보석 9개가 빠져 나가야 하는데 18개가 빠져나가는 이유는 뭔가요? 그리고 보석 900개면 최소 100명 연결이 돼야하는데 상대가 대화방 떠나고 내가 넘기기해도 그 정도 연결도 안 됐는데 보석 900개가 순식간에 날아가는 이유는 뭔가요?,no_specific_comment,answer
이맹규,5,2019년 5월 6일,2019년 5월 7일,☆☆☆☆)),no_specific_comment,answer
Bobae_nara보배나라,1,2019년 5월 6일,2019년 5월 7일,메일을몇번을보내도 답은 구글플레이에서하라는데 전카톡으로들어갔는데이걸도당체어디서해결하라는건지ㅡㅡ자동결제취소하려는데넘복잡하네요 환불요구하니연락바랍니다,no_specific_comment,answer
