user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
HEE JUNG KIM,5,2019년 12월 27일,no_answer,로켓배송은 정말 빨라요. 물건들도 안전하게 잘 받고 있어요.,no_answer
일성,1,2019년 12월 27일,no_answer,엄청 화나네요 쓰고 싶지 않게 해요 전에 샀던 물품이 만원이나 더 싸지고 살려고 했던 물품은 더 비싸지고 하...진짜 살맛 안 나게 하네요,no_answer
김우열,5,2019년 12월 26일,no_answer,쵝오,no_answer
S - P Lee,1,2019년 12월 26일,no_answer,광고 극혐,no_answer
최민권,4,2019년 12월 26일,no_answer,굿,no_answer
강남이,5,2019년 12월 26일,no_answer,빠르고 친절해좋아요,no_answer
이봉일,5,2019년 12월 26일,no_answer,저렴한가격 품질도 좋음,no_answer
김연주,5,2019년 12월 26일,no_answer,많아도 물건이너무 많아,no_answer
이춘희,5,2019년 12월 26일,no_answer,좋아요,no_answer
독존유아,5,2019년 12월 26일,no_answer,자주 이용해요. 좋아요,no_answer
Google 사용자,4,2019년 12월 26일,no_answer,신속정확합니다,no_answer
조진흥,4,2019년 12월 26일,no_answer,"편리성 때문에 자주이용합니다. 하지만 일부 공산품 특히중국산 제품에대하여는 신뢰가 가지않습니다 무릅담뇨,발열조끼는 작동이 안됩니다",no_answer
Rich Cheeze,1,2019년 12월 26일,no_answer,쿠폰차별하네 더럽네ㅋㅋ,no_answer
kang Isaac,5,2019년 12월 26일,no_answer,잘돼요.감사합니다,no_answer
So정,5,2019년 12월 26일,no_answer,좋아요,no_answer
정은화,5,2019년 12월 26일,no_answer,너무 좋아요,no_answer
이주익,5,2019년 12월 26일,no_answer,"신속배달, 최고",no_answer
seaxvr g,1,2019년 12월 26일,no_answer,아니 다른앱에서 나가기 누르거나 홈버튼 눌르는데 왜 갑자기 쿠팡이 왜 대체 왜 나오는거죠?? 진짜 적당히면 괜찮은데 특히 네이버에서 나가기만 하면 나오던데;;; 적당히 이용해 먹으세요;,no_answer
최민정,3,2019년 12월 25일,no_answer,괜찮은것같아요,no_answer
성영대,5,2019년 12월 25일,no_answer,최고,no_answer
양은영,5,2019년 12월 25일,no_answer,총알배송 굿,no_answer
최현진,5,2019년 12월 25일,no_answer,회원탈퇴하렵니다.사용중진데월회비왜빼갑니까,no_answer
김미연,4,2019년 12월 25일,no_answer,안녕,no_answer
이명재,5,2019년 12월 25일,no_answer,넘 좋아요,no_answer
김정아,5,2019년 12월 25일,no_answer,빠르고 편리해요,no_answer
guihua zhang,5,2019년 12월 25일,no_answer,좋음,no_answer
희희,5,2019년 12월 25일,no_answer,배송 빠르고 반품 잘되요~^^,no_answer
김태식,5,2019년 12월 25일,no_answer,그냥,no_answer
오정인,5,2019년 12월 24일,no_answer,편하고 좋습니다^^,no_answer
박혜진,5,2019년 12월 24일,no_answer,편리합니다,no_answer
정유림,5,2019년 12월 24일,no_answer,편리해영,no_answer
밥그릇,1,2019년 12월 24일,no_answer,쿠팡을 설치할수 없음이라고 자꾸 떠요,no_answer
어린이사랑쉼터,4,2019년 12월 24일,no_answer,품절상품이너무많네요. 구매하고싶은것 구매할려도 품절입니까. ? LG포켓포토필요 한데요. 제가구입하면뭐합니까. 품절이고요. 그러면빨리제작해주세요. 다른것좋은데요. ㅜㅜ 포켓포토인화지 다른것효환안되요. 그것꼭필요하고 그것만사용가능해요.,no_answer
박경은,5,2019년 12월 24일,no_answer,쿠팡이 편리하고 좋은 앱 이에용~^^,no_answer
김상욱,5,2019년 12월 24일,no_answer,간단하고 매우편함,no_answer
신성주,3,2019년 12월 24일,no_answer,마이페이지 계속 점검중이라고 뜨는데 안 고치나?,no_answer
깝죽맨,5,2019년 12월 24일,no_answer,와우 너무 좋네요(진심),no_answer
이쵸쵸우님 덕후,5,2019년 12월 24일,no_answer,반품도 확실하고.. 제품도 맘에 들고,no_answer
곽득용,5,2019년 12월 24일,no_answer,넘 조아요,no_answer
김성기,5,2019년 12월 24일,no_answer,쿠팡.보다는좋은것입니다~~^^♡,no_answer
젤리밍쿠,1,2019년 12월 24일,no_answer,쿠팡기사 토악질나온다 상담원도 교육제대로받아라,no_answer
전홍아,5,2019년 12월 24일,no_answer,👍👍👍👍,no_answer
이봉준,5,2019년 12월 24일,no_answer,매우편리함,no_answer
박경란,5,2019년 12월 24일,no_answer,너무좋아서 중독되요,no_answer
Bo kyoung Kim,2,2019년 12월 24일,no_answer,지금까지 만족스럽게 잘 사용중이었는데 얼마 전부터 마이페이지가 서비스 점검중이라고 안나오네요 앱 업데이트 이후에도 계속 그럽니다,no_answer
김상덕,5,2019년 12월 24일,no_answer,굿,no_answer
황현희,5,2019년 12월 24일,no_answer,", , . ? .",no_answer
